,word,freq,likes,rt,reply,quotes
340,msm,14,21.0,2.0,14.0,1.0
341,galera,14,39.0,5.0,20.0,0.0
342,kkkkkkkk,14,36.0,1.0,19.0,0.0
343,cocar,14,2611.0,313.0,139.0,17.0
344,aparecer,14,44.0,0.0,34.0,2.0
345,perto,14,100.0,4.0,22.0,0.0
346,qnd,14,32.0,0.0,10.0,0.0
347,matar,14,17.0,2443.0,9.0,1.0
348,anúncio,14,14.0,0.0,5.0,0.0
349,alelobrasil,14,,,,
350,tardar,13,63.0,10.0,17.0,2.0
351,doido,13,49.0,475.0,14.0,1.0
352,falto,13,379.0,101.0,32.0,4.0
353,mds,13,25.0,1.0,16.0,1.0
354,horrível,13,23.0,0.0,14.0,1.0
355,liberar,13,23.0,29.0,4.0,0.0
356,desistir,13,39.0,0.0,14.0,0.0
357,parabém,13,74.0,21.0,14.0,0.0
358,avaliação,13,65.0,6.0,16.0,2.0
359,homem,13,37.0,0.0,12.0,0.0
360,inventar,13,30.0,2.0,9.0,0.0
361,cheio,13,47.0,514.0,14.0,3.0
362,dica,13,22.0,9.0,14.0,2.0
363,rodar,13,21.0,2.0,7.0,0.0
364,vos,13,15.0,2.0,12.0,0.0
365,mil,13,27.0,16.0,7.0,1.0
366,amanhã,13,39.0,4.0,6.0,1.0
367,plataforma,13,1097.0,27.0,20.0,2.0
368,incrível,13,24.0,0.0,10.0,0.0
369,coxa,12,37.0,2.0,16.0,1.0
370,sofrer,12,1555.0,2185.0,112.0,18.0
371,infernar,12,22.0,2.0,3.0,0.0
372,subir,12,44.0,0.0,16.0,0.0
373,est,12,,,,
374,subway,12,21.0,2.0,10.0,0.0
375,crédito,12,64.0,1.0,22.0,2.0
376,nicar,12,,,,
377,valor,12,110.0,1.0,45.0,0.0
378,afim,12,45.0,8.0,2.0,0.0
379,oferecer,12,39.0,353.0,8.0,2.0
380,caldar,12,18.0,0.0,12.0,0.0
381,pilar,12,1109.0,41.0,25.0,1.0
382,sono,12,13.0,0.0,7.0,0.0
383,bike,12,88.0,204.0,6.0,6.0
384,festa,12,22.0,2.0,10.0,1.0
385,kkkkkk,12,128.0,256.0,33.0,1.0
386,mentir,12,14.0,0.0,5.0,0.0
387,pedid,12,,,,
388,aceito,12,19.0,0.0,7.0,0.0
389,fim,12,194.0,131.0,31.0,21.0
390,desinstalar,12,32.0,1.0,2.0,0.0
391,menino,12,58.0,0.0,16.0,0.0
392,dieta,12,28.0,0.0,4.0,0.0
393,arrumar,12,22.0,0.0,11.0,0.0
394,lixar,12,13.0,4.0,9.0,0.0
395,contato,11,95.0,5.0,50.0,3.0
396,sorvete,11,35.0,0.0,10.0,0.0
397,supermercado,11,59.0,29.0,10.0,0.0
398,proconspoficial,11,,,,
399,felicidade,11,56.0,2.0,5.0,1.0
400,enviar,11,98.0,2.0,41.0,3.0
401,açai,11,23.0,3.0,7.0,2.0
402,servir,11,20.0,6.0,8.0,0.0
403,aguentar,11,40.0,0.0,11.0,1.0
404,reembolsar,11,1246.0,37.0,37.0,1.0
405,poxa,11,5.0,0.0,4.0,0.0
406,prato,11,56.0,13.0,15.0,1.0
407,apenas,11,112.0,2.0,34.0,2.0
408,man,11,2.0,0.0,2.0,0.0
409,portar,11,132.0,24.0,27.0,2.0
410,chorar,11,32.0,3.0,12.0,1.0
411,respostar,11,55.0,4.0,13.0,1.0
412,pleno,11,40.0,4.0,12.0,1.0
413,atenção,11,112.0,20.0,12.0,1.0
414,ess,11,0.0,0.0,0.0,0.0
415,segurar,11,81.0,2.0,8.0,1.0
416,imaginar,11,162.0,6.0,14.0,0.0
417,montar,11,61.0,12.0,11.0,2.0
418,família,11,442.0,34.0,39.0,1.0
419,impossível,11,21.0,0.0,7.0,0.0
420,kkkkkkk,11,38.0,1.0,12.0,0.0
421,cachorro,11,10.0,0.0,6.0,0.0
422,garantir,11,41.0,4.0,15.0,0.0
423,chat,11,95.0,2.0,31.0,0.0
424,pesquisar,11,19.0,2.0,10.0,0.0
425,res,11,,,,
426,boy,10,19.0,7.0,2.0,0.0
427,feirar,10,38.0,0.0,10.0,2.0
428,malucar,10,13.0,4.0,5.0,0.0
429,dps,10,22.0,5.0,19.0,0.0
430,preferir,10,29.0,5.0,13.0,1.0
431,assistir,10,36.0,2146.0,9.0,0.0
432,andar,10,7.0,0.0,5.0,0.0
433,hot,10,17.0,0.0,7.0,0.0
434,vencer,10,65.0,0.0,8.0,0.0
435,segundar,10,66.0,137.0,17.0,0.0
436,féria,10,53.0,35.0,5.0,6.0
437,engraçar,10,35.0,2.0,9.0,0.0
438,biancaalencarof,10,,,,
439,entr,10,0.0,85.0,0.0,0.0
440,ceder,10,22.0,1.0,6.0,0.0
441,sério,10,25.0,0.0,7.0,0.0
442,adorar,10,18.0,36.0,6.0,0.0
443,combo,10,27.0,5.0,15.0,0.0
444,bostar,10,24.0,0.0,14.0,0.0
445,cruzeirense,10,57.0,17.0,8.0,2.0
446,rápido,10,37.0,136.0,15.0,3.0
447,sexto,10,21.0,0.0,8.0,0.0
448,rico,10,24.0,3.0,10.0,0.0
449,mudar,10,75.0,4.0,16.0,3.0
450,senhor,10,2639.0,619.0,139.0,17.0
451,comentandotvbr,10,,,,
452,ruir,10,87.0,85.0,20.0,1.0
453,além,10,102.0,10.0,15.0,1.0
454,pizzaria,10,29.0,0.0,16.0,1.0
455,salvar,10,83.0,106.0,14.0,4.0
456,limitar,10,65.0,7.0,13.0,0.0
